POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
11;23;Classified;29;38:08.225;+4.791;+0.394;25;1:16.429;143.7;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
12;4;Classified;29;38:08.517;+5.083;+0.292;25;1:16.144;144.2;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;14;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
13;3;Classified;29;38:08.859;+5.425;+0.342;24;1:16.647;143.3;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
14;17;Classified;29;38:09.227;+5.793;+0.368;25;1:16.415;143.7;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
15;51;Classified;29;38:09.612;+6.178;+0.385;24;1:16.788;143.0;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
16;5;Classified;29;38:10.000;+6.566;+0.388;25;1:16.813;143.0;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
17;8;Classified;29;38:10.378;+6.944;+0.378;22;1:16.718;143.2;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;10;Sam;BIRD;;GBR;GBR;BIR;;;;;;
18;13;Classified;29;38:10.599;+7.165;+0.221;25;1:16.789;143.0;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;8;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
19;18;Classified;29;38:10.806;+7.372;+0.207;22;1:16.693;143.2;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
20;33;Classified;29;38:11.122;+7.688;+0.316;22;1:16.792;143.0;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
21;7;Classified;29;38:16.599;+13.165;+5.477;24;1:16.859;142.9;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;7;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
;48;Not classified;16;21:33.689;;;15;1:18.510;139.9;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
